shopRecordIndex,category,subcategory,itemIndex,name,purchaseDomain,price,initialOwned,unlock,itemId,shopImage,shopImageBinding,catalogIdentity,runtimeFamily,useAcceptance,nextCheck,browserPurchase,browserDescriptionPresent,browserSetup
12,HUNT_ITEMS,ROPE,8,高階捕捉繩 γ,INVENTORY,32000,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:rope-08,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
13,HUNT_ITEMS,ROPE,9,頂級捕捉繩 α,INVENTORY,45000,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:rope-09,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
14,HUNT_ITEMS,ROPE,10,頂級捕捉繩 β,INVENTORY,60000,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:rope-10,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
15,HUNT_ITEMS,ROPE,11,頂級捕捉繩 γ,INVENTORY,90000,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:rope-11,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
16,HUNT_ITEMS,SHOT,0,普通射擊 α,INVENTORY,5,20,INITIAL_AVAILABLE,championship:2026:hunt-item:shot-i,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
17,HUNT_ITEMS,SHOT,1,普通射擊 β,INVENTORY,10,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:shot-ii,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
18,HUNT_ITEMS,SHOT,2,連發射擊 α,INVENTORY,10,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:shot-iii,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
19,HUNT_ITEMS,SHOT,3,連發射擊 β,INVENTORY,20,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:shot-03,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
20,HUNT_ITEMS,SHOT,4,睡眠射擊 α,INVENTORY,30,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:shot-04,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
21,HUNT_ITEMS,SHOT,5,睡眠射擊 β,INVENTORY,50,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:shot-05,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
22,HUNT_ITEMS,SHOT,6,麻痺射擊 α,INVENTORY,80,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:shot-06,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
23,HUNT_ITEMS,SHOT,7,麻痺射擊 β,INVENTORY,100,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:shot-07,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
24,HUNT_ITEMS,SHOT,8,散彈 α,INVENTORY,60,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:shot-08,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
25,HUNT_ITEMS,SHOT,9,散彈 β,INVENTORY,120,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:shot-09,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
26,HUNT_ITEMS,SHOT,10,麻痺散彈 α,INVENTORY,180,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:shot-10,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
27,HUNT_ITEMS,SHOT,11,麻痺散彈 β,INVENTORY,260,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:shot-11,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,SHOT,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
28,HUNT_ITEMS,WIRE,0,阻擋鋼索 α,INVENTORY,10,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:wire-i,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,WIRE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
29,HUNT_ITEMS,WIRE,1,阻擋鋼索 β,INVENTORY,30,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:wire-ii,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,WIRE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
30,HUNT_ITEMS,WIRE,2,磁力鋼索 α,INVENTORY,70,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:wire-iii,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,WIRE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
31,HUNT_ITEMS,WIRE,3,磁力鋼索 β,INVENTORY,110,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:wire-03,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,WIRE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
32,HUNT_ITEMS,WIRE,4,電擊鋼索 α,INVENTORY,200,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:wire-04,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,WIRE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
33,HUNT_ITEMS,WIRE,5,電擊鋼索 β,INVENTORY,400,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:wire-05,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,WIRE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
34,HUNT_ITEMS,MEAT,0,肉餌,INVENTORY,20,10,INITIAL_AVAILABLE,championship:2026:hunt-item:meat-00,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ENTRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
35,HUNT_ITEMS,MEAT,1,大型肉餌,INVENTORY,80,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:meat-01,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ENTRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
36,HUNT_ITEMS,MEAT,2,毒肉餌,INVENTORY,130,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:meat-02,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ENTRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
37,HUNT_ITEMS,MEAT,3,麻痺肉餌,INVENTORY,200,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:meat-03,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ENTRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
38,HUNT_ITEMS,DECOY,0,誘導玩具,INVENTORY,330,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:decoy-00,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ENTRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
39,HUNT_ITEMS,DECOY,1,強化誘導玩具,INVENTORY,800,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:decoy-01,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ENTRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
40,HUNT_ITEMS,LIGHT,0,黃色誘引燈,INVENTORY,130,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:light-00,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ENTRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
41,HUNT_ITEMS,LIGHT,1,藍色誘引燈,INVENTORY,700,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:light-01,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ENTRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
42,HUNT_ITEMS,BOMB,0,爆破彈,INVENTORY,80,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:bomb-00,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,DAMAGE_TRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
43,HUNT_ITEMS,BOMB,1,睡眠彈,INVENTORY,130,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:bomb-01,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,DAMAGE_TRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
44,HUNT_ITEMS,BOMB,2,麻痺彈,INVENTORY,350,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:bomb-02,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,DAMAGE_TRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
45,HUNT_ITEMS,BOMB,3,閃光彈,INVENTORY,550,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:bomb-03,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,DAMAGE_TRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
46,HUNT_ITEMS,MINE,0,地雷,INVENTORY,250,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:mine-00,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,DAMAGE_TRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
47,HUNT_ITEMS,MINE,1,大型地雷,INVENTORY,800,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:mine-01,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,DAMAGE_TRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
48,HUNT_ITEMS,CAPTURE_TRAP,0,捕捉陷阱,INVENTORY,5200,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:capture-trap-00,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,DAMAGE_TRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
49,HUNT_ITEMS,CAPTURE_TRAP,1,強化捕捉陷阱,INVENTORY,8800,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:capture-trap-01,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,DAMAGE_TRAP,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
50,HUNT_ITEMS,MEMORY_CARD,0,記憶卡 32G,INVENTORY,2450,1,INITIAL_AVAILABLE,championship:2026:hunt-memory:card-32,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,MEMORY_CARD,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",ALREADY_AT_CAP_CORRECTLY_DISABLED,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
51,HUNT_ITEMS,MEMORY_CARD,1,記憶卡 64G,INVENTORY,4850,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-memory:card-64,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,MEMORY_CARD,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
52,HUNT_ITEMS,MEMORY_CARD,2,記憶卡 96G,INVENTORY,9850,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-memory:card-96,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,MEMORY_CARD,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
53,PLUGINS,ANALYZER,0,世代分析,INVENTORY,3000,0,INITIAL_AVAILABLE,championship:2026:hunt-plugin:analyzer-generation,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ANALYZER,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
54,PLUGINS,ANALYZER,1,種族分析,INVENTORY,4000,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-plugin:analyzer-family,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ANALYZER,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
55,PLUGINS,ANALYZER,2,屬性分析,INVENTORY,3000,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-plugin:analyzer-alignment,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ANALYZER,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
