feature_id,domain,original_feature,evidence_state,current_runtime_state,missing_data,fillability,next_action
DB-001,Database,216 creature collection entries,VERIFIED_BINARY,NOT_STARTED,Seen/owned/evolved distinctions completion reward,LIKELY_TRACE,Trace Database flags and 100-percent branch
BATTLE-001,Battle Setup,Team selection up to 3 and pre-battle orders,VERIFIED_CROSSCHECK,NOT_STARTED,Exact order values AI bias and validation,LIKELY_TRACE,Trace setup writers to OVL19
BATTLE-002,Auto Battle,Independent cooldown auto battle,VERIFIED_BINARY,NOT_STARTED,Hit/miss TP critical distribution init/ties,LIKELY_HIGH_RISK_TRACE,Close B02 B03 B06 B09 before parity
BATTLE-003,Status,Single negative slot positive buff slot heal clear and DoT,VERIFIED_BINARY,NOT_STARTED,Weak status names and individual non-DoT hooks,LIKELY_TRACE,Close B05 semantic register
BATTLE-004,Title Match,62 matches and 45 eligibility rules,VERIFIED_BINARY,NOT_STARTED,Calendar UI and complete reward/unlock writes,LIKELY_TRACE,Ingest catalogs and trace result graph
BATTLE-005,Free Battle,Repeatable configurable battle,WEB_CROSSCHECK_AND_LOCAL_UI,NOT_STARTED,Opponent parameters fees/rewards/counters,LIKELY_TRACE,Trace Battle Menu and result modes
BATTLE-006,Password Battle,Encoded asynchronous opponent,WEB_CROSSCHECK_AND_LOCAL_UI,NOT_STARTED,Encoding validation versioning and safety,LIKELY_TRACE,Trace password serializer/parser
BATTLE-007,Championship,Qualification and consecutive main tournament battles,OFFICIAL_WEB_CROSSCHECK,NOT_STARTED,Round count recovery/endurance failure and final unlocks,LIKELY_TRACE,Trace Championship state machine
BATTLE-008,Practice,Practice battle mode,WEB_CROSSCHECK_AND_LOCAL_UI,NOT_STARTED,Counter reward injury and evolution effects,LIKELY_TRACE,Trace mode flag through result writes
BATTLE-009,Multiplayer,Wireless and Nintendo WFC battle,OFFICIAL_WEB_CROSSCHECK,NOT_STARTED,Modern protocol identity matchmaking and anti-cheat,NEW_PRODUCT_BUILD,Owner chooses online scope/backend
PROG-001,Progression,Tamer rank title medal gate and licence progression,PARTIAL,NOT_STARTED,Complete PlayerData write graph and invariants,LIKELY_TRACE,Trace OVL8 and create golden saves
SAVE-001,Save,Full-game durable state,PARTIAL,RAISING_ONLY,Full schema migrations recovery and version boundaries,LIKELY_TRACE,Close PlayerData map then extend one save authority
TEXT-001,Localization,3197 decoded source text records,VERIFIED_BINARY,NOT_INGESTED,Control tags runtime lookup IDs and translation policy,YES,Build source catalog adapter and caller map
AUDIO-001,Audio,151 SDAT embedded payloads,VERIFIED_BINARY,NOT_STARTED,Event callers priority ducking loops and replacements,YES_WITH_TRACE,Map SDAT IDs to ARM/overlay calls
UI-001,UI,96 NXR scenes and 1369 nodes,VERIFIED_BINARY,PARTIAL,Modern screen semantics states accessibility and component mapping,YES,Complete screen inventory without literal DS coordinates
ART-001,Production,Creature environment UI and VFX replacement,RESEARCH_REFERENCE_ONLY,TEMPORARY,Licensed or original-created shipping assets,OWNER_OR_LICENSOR_REQUIRED,Approve IP and production-art plan
NET-001,Network,Original Nintendo WFC service,DISCONTINUED,NOT_STARTED,New service architecture accounts security persistence moderation,NEW_PRODUCT_BUILD,Select offline/private/matchmaking scope
QA-001,QA,Deterministic parity and release coverage,PLANNED,VS1_VS2_ONLY,Golden fixtures devices browsers performance accessibility save recovery,YES,Create per-slice release gates
DOC-001,Governance,One authoritative roadmap,CONFLICT_DETECTED,OPEN,README says VS2 built while older master says Owner GO required,YES,Reconcile before VS3 authorization
