"id","targetSeconds","actualSeconds","displayTimeApprox","label","evidence","observed","interpretation","unknown","sourceUrl","localPath","sha256"
"B2-11","269","270.436673","04:31","沙漠倒下與紅手","VIDEO_OBSERVED","目標倒下伴隨星形效果，上方是紅色手掌與紅條；繩索仍高亮。","存在拉繩後、收取前的中間狀態。","紅條是否計時或恢復量未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=269","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t269.png","c830d286ccc9330ad6ece4d5e8ad922ed1c33154043901e689397f2793da99c2"
"B2-12","270","271.239988","04:32","沙漠收取回饋","VIDEO_OBSERVED","最左手掌工具高亮；原目標位置出現藍白光球。","前後序列支持使用手掌收取的解釋。","單點或拖放的精確觸發、是否已永久入隊未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=270","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t270.png","c0cf7442efe2d27bcf2f9c34e097c9f3c9a963c07e7b9e55d73ed6e07d5ff200"
"B2-13","295","296.763038","04:57","Nature Analyzer","VIDEO_OBSERVED","原作商品說明、5500 bits、持有量 0 可見。","目標情報與商品功能相關。","實際裝備綁定與資料揭露條件未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=295","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t295.png","988332144ebfd9a47745d9c0ea75f970e968bd9c547408c8355cb46ef62377f2"
"B2-14","300","301.14596","05:02","沼澤套繩","VIDEO_OBSERVED","藍色目標周圍出現白綠分段弧線，附近另有綠色角色；繩索工具高亮。","第二組場景重複出現套繩視覺。","不能据附近有另一角色就推論多目標捕捉。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=300","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t300.png","08e8078ba4efa1b38a5208c46357c4259f5d66d2694a2847e21f0ddfecf207ae"
"B2-15","301","302.399536","05:03","沼澤拉繩連線","VIDEO_OBSERVED","Pull!、部分減少的綠條，以及由目標向右方端點延伸的綠色斜繩。","拉扯具有目標端與操作端的空間關係。","拉力、速度、斷繩和綠條公式未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=301","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t301.png","6f5418a003b252a5f38a04df3d27a4ab78c0a51ee61a82558690d4b5bae9c7d3"
"B2-16","302","303.501961","05:04","沼澤收取回饋","VIDEO_OBSERVED","場景位置改變，出現藍白光球，最左手掌工具高亮。","支持另一組手掌收取回饋。","畫面剪輯和鏡頭位移不可直接等同觸控輸入。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=302","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t302.png","d509b2756c4a67127d77a95f71684c78e88547f6b5d45e84e25a299455de2b7e"
"B2-17","310","311.390352","05:12","八日曆格","VIDEO_OBSERVED","1–8 為兩列四欄，勾選與空白圖示旁有數字；1 呈紫色。","日程有按天摘要的視覺。","圖示數字、紫色是否當日或選中未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=310","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t310.png","27f8d91998ac9a161fdac68517491ef05346ccfbbf7966d7b6ab35a5653921f2"
"B2-18","330","331.704189","05:32","Sky Walkers","VIDEO_OBSERVED","原作條件含 Dragon and Bird species only、3 vs. 3 Battle、入場費 1000 bits。","賽事資格可同時允許多種類別。","不合格時實際處理未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=330","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t330.png","34bf519b60a4a74b6d92aab90e454d5222d6c5c4f189e42d6148f9b934013896"
"B2-19","360","360.915856","06:01","Silver Freeze 非對稱賽事","VIDEO_OBSERVED","原作文字明示 1 vs. 3 Battle 與 1500 bits；旁有作者條件表。","原作賽事直接支持 1 對 3。","未取得此場完整戰鬥的逐步紀錄。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=360","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t360.png","4c80b74689066e51e5e37ba84bfe18cd1f830f1f0d59acd81ee5fa42dcea68a1"
"B2-20","420","420.982286","07:01","Bug Busters","VIDEO_OBSERVED","原作條件含 Virus attribute only、3 vs. 3 Battle、1000 bits。","屬性限制與物種類別限制需區分。","所有資格交集與解鎖條件未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=420","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t420.png","d3923320b408dac865375f6685142f59e738daf0e256ccac7540266f6f2f4f45"
