"品項","類別","原生索引","正常入口可用","目前狀態","使用方法"
"磁力鋼索 β","WIRE","3","true","NORMAL_INPUT_INTEGRATED","拖出線段，放開後完成；短線／無效位置不扣庫存；阻擋、磁力、電擊依品項"
"電擊鋼索 α","WIRE","4","true","NORMAL_INPUT_INTEGRATED","拖出線段，放開後完成；短線／無效位置不扣庫存；阻擋、磁力、電擊依品項"
"電擊鋼索 β","WIRE","5","true","NORMAL_INPUT_INTEGRATED","拖出線段，放開後完成；短線／無效位置不扣庫存；阻擋、磁力、電擊依品項"
"肉餌","MEAT","0","true","NORMAL_INPUT_INTEGRATED","點地放餌；角色吃到原生第 1 幀才扣食物營養；毒／麻痺品項使用延遲異常"
"大型肉餌","MEAT","1","true","NORMAL_INPUT_INTEGRATED","點地放餌；角色吃到原生第 1 幀才扣食物營養；毒／麻痺品項使用延遲異常"
"毒肉餌","MEAT","2","true","NORMAL_INPUT_INTEGRATED","點地放餌；角色吃到原生第 1 幀才扣食物營養；毒／麻痺品項使用延遲異常"
"麻痺肉餌","MEAT","3","true","NORMAL_INPUT_INTEGRATED","點地放餌；角色吃到原生第 1 幀才扣食物營養；毒／麻痺品項使用延遲異常"
"誘導玩具","DECOY","0","true","NORMAL_INPUT_INTEGRATED","先放玩具，再點移動方向；等待 181 次原生更新也會自動發射"
"強化誘導玩具","DECOY","1","true","NORMAL_INPUT_INTEGRATED","先放玩具，再點移動方向；等待 181 次原生更新也會自動發射"
"黃色誘引燈","LIGHT","0","true","NORMAL_INPUT_INTEGRATED","點地放誘引燈；夜間才發出吸引事件，時間到清除"
"藍色誘引燈","LIGHT","1","true","NORMAL_INPUT_INTEGRATED","點地放誘引燈；夜間才發出吸引事件，時間到清除"
"爆破彈","BOMB","0","true","NORMAL_INPUT_INTEGRATED","點地放炸彈；引信、爆炸、吹飛、落地與品項異常"
"睡眠彈","BOMB","1","true","NORMAL_INPUT_INTEGRATED","點地放炸彈；引信、爆炸、吹飛、落地與品項異常"
"麻痺彈","BOMB","2","true","NORMAL_INPUT_INTEGRATED","點地放炸彈；引信、爆炸、吹飛、落地與品項異常"
"閃光彈","BOMB","3","true","NORMAL_INPUT_INTEGRATED","點地放炸彈；引信、爆炸、吹飛、落地與品項異常"
"地雷","MINE","0","true","NORMAL_INPUT_INTEGRATED","點地放地雷；目標接觸後引爆"
"大型地雷","MINE","1","true","NORMAL_INPUT_INTEGRATED","點地放地雷；目標接觸後引爆"
"捕捉陷阱","CAPTURE_TRAP","0","true","NORMAL_INPUT_INTEGRATED","點地放陷阱；目標進入並到達中心後切手掌收取，仍檢查卡片容量"
"強化捕捉陷阱","CAPTURE_TRAP","1","true","NORMAL_INPUT_INTEGRATED","點地放陷阱；目標進入並到達中心後切手掌收取，仍檢查卡片容量"
"世代分析","ANALYZER","0","true","HUD_INTEGRATED","在四個插件位置裝備後，顯示對應目標欄位；HP 是原作最大 HP"
"種族分析","ANALYZER","1","true","HUD_INTEGRATED","在四個插件位置裝備後，顯示對應目標欄位；HP 是原作最大 HP"
"屬性分析","ANALYZER","2","true","HUD_INTEGRATED","在四個插件位置裝備後，顯示對應目標欄位；HP 是原作最大 HP"
"HP 分析","ANALYZER","3","true","HUD_INTEGRATED","在四個插件位置裝備後，顯示對應目標欄位；HP 是原作最大 HP"
"性格分析","ANALYZER","4","true","HUD_INTEGRATED","在四個插件位置裝備後，顯示對應目標欄位；HP 是原作最大 HP"
"容量分析","ANALYZER","5","true","HUD_INTEGRATED","在四個插件位置裝備後，顯示對應目標欄位；HP 是原作最大 HP"
"世代／種族分析","ANALYZER","6","true","HUD_INTEGRATED","在四個插件位置裝備後，顯示對應目標欄位；HP 是原作最大 HP"
"世代／種族／屬性分析","ANALYZER","7","true","HUD_INTEGRATED","在四個插件位置裝備後，顯示對應目標欄位；HP 是原作最大 HP"
"完整分析","ANALYZER","8","true","HUD_INTEGRATED","在四個插件位置裝備後，顯示對應目標欄位；HP 是原作最大 HP"
"射擊數量","CHECKER","0","true","HUD_INTEGRATED","裝備後顯示對應道具的剩餘數量"
"鋼索數量","CHECKER","1","true","HUD_INTEGRATED","裝備後顯示對應道具的剩餘數量"
"誘引道具數量","CHECKER","2","true","HUD_INTEGRATED","裝備後顯示對應道具的剩餘數量"
"傷害陷阱數量","CHECKER","3","true","HUD_INTEGRATED","裝備後顯示對應道具的剩餘數量"
"全部道具數量","CHECKER","4","true","HUD_INTEGRATED","裝備後顯示對應道具的剩餘數量"
"幼年期雷達","RADAR_SEARCH","0","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"成長期雷達","RADAR_SEARCH","1","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"成熟期雷達","RADAR_SEARCH","2","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"完全體雷達","RADAR_SEARCH","3","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"資料／自由屬性雷達","RADAR_SEARCH","4","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"疫苗屬性雷達","RADAR_SEARCH","5","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"病毒屬性雷達","RADAR_SEARCH","6","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"龍族雷達","RADAR_SEARCH","7","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"獸族雷達","RADAR_SEARCH","8","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"鳥族雷達","RADAR_SEARCH","9","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"水族雷達","RADAR_SEARCH","10","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"聖族雷達","RADAR_SEARCH","11","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"暗黑族雷達","RADAR_SEARCH","12","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"昆蟲植物雷達","RADAR_SEARCH","13","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"機械族雷達","RADAR_SEARCH","14","true","HUD_INTEGRATED","裝備後依原生世代、屬性或種族遮罩篩選雷達目標"
"記憶卡容量顯示","MEMORY_CHECKER","0","true","HUD_INTEGRATED","裝備後顯示卡片已用 G 與最大 G"
"記憶卡 32G","MEMORY_CARD","0","true","CAPACITY_RULE_INTEGRATED","持有品項决定最大容量；插件只控制是否顯示容量"
"記憶卡 64G","MEMORY_CARD","1","true","CAPACITY_RULE_INTEGRATED","持有品項决定最大容量；插件只控制是否顯示容量"
"記憶卡 96G","MEMORY_CARD","2","true","CAPACITY_RULE_INTEGRATED","持有品項决定最大容量；插件只控制是否顯示容量"
