id,category,title,seekTargetSeconds,recordedMediaSeconds,sourceUrl,framePath,sha256,observationEvidence,observation,interpretationEvidence,interpretation
V11,狩獵,退出狩獵確認,69,69.582236,https://www.bilibili.com/video/BV13u411B7BK/?t=69,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t069.png,fa0a9c42e6f014e369562d616f88972a5159d52b5b68c4ea37cffe97f4e2e250,VIDEO_OBSERVED,下螢幕中央詢問是否結束 Hunt Mode，Yes／No；背景與工具列仍可見。,ANALYSIS_OR_CROSSCHECK,這是模式退出確認層；不是工具切換。
V12,狩獵,捕捉後管理,72,72.751778,https://www.bilibili.com/video/BV13u411B7BK/?t=72,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t072.png,b220406114d655acd5e33e5222ab923ea70a9aeed9eb394a88a4e46e4abc1746,VIDEO_OBSERVED,下方有 New 角色卡、Name／Rndm Name／Release、紅色 066G/64G 容量和 Return。,ANALYSIS_OR_CROSSCHECK,捕捉結果要再處理命名、去留、容量；影片不足以證明超額提交規則。
V13,選單,功能選單六項,90,90.49664,https://www.bilibili.com/video/BV13u411B7BK/?t=90,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t090.png,7bee9d717219bc946796c8418c2e8ef66ac69d4b84cac444632965226ce48b43,VIDEO_OBSERVED,底部最右工具高亮，展開 Help、Database、Battle、Save & Quit、Hunt、Shop。,ANALYSIS_OR_CROSSCHECK,這是功能／模式入口子選單，不是五項管理選單。
V14,商店,購買數量與確認,105,105.829953,https://www.bilibili.com/video/BV13u411B7BK/?t=105,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t105.png,6f43eceeeab16246b6a57a9425e04db45b3d2cb8fe839d1e31825565b3a78103,VIDEO_OBSERVED,Food 5 bits、持有量、Funds；中央 5×21=105 bits、數量箭頭、OK／Cancel。,ANALYSIS_OR_CROSSCHECK,選商品、改數量、提交購買是三個不同層級。
V15,選單,管理選單五項,117,117.888187,https://www.bilibili.com/video/BV13u411B7BK/?t=117,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t117.png,c48cc69ade7617902c7896e118c88b7047278e8a6bc8f010e948262037ac7895,VIDEO_OBSERVED,底部倒數第二工具高亮，展開 Tamer、Schedule、Cage Edit、Digimon、End Day。,ANALYSIS_OR_CROSSCHECK,與最右工具的六項選單並存；不應合併成一個清單。
V16,場地,場地效果與拼組,120,121.081448,https://www.bilibili.com/video/BV13u411B7BK/?t=120,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t120.png,630afc2b006945e9559053d26624fac567b18743fedc8e534b3d2c7f61ade262,VIDEO_OBSERVED,Playground 的說明包含 HP Up 與 Occupancy Limit 6；下方綠色六角編輯板、模組、ID／Size／Return。,ANALYSIS_OR_CROSSCHECK,容納數、能力效果、視覺佔地是不同欄位。
V17,場地,不等形模組,129,129.555908,https://www.bilibili.com/video/BV13u411B7BK/?t=129,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t129.png,4e4f1b2c30e0f327348f294f74418e7f37423edcb2155b228bfca3a0a16f6cdb,VIDEO_OBSERVED,Playground 棕色模組呈跨相鄰六角格的外輪廓，藍色模組與小型設施的形狀不同。,ANALYSIS_OR_CROSSCHECK,可以確認可见佔地差異；不能僅憑影格斷言二進位一格一物件或完整碰撞遮罩。
V18,戰鬥,模式選擇立方體,142,142.301644,https://www.bilibili.com/video/BV13u411B7BK/?t=142,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t142.png,e4d0feac0bc52c6db7ad6a1d63755e6ced2fc7df9877900dd634665d1a50fd2a,VIDEO_OBSERVED,下方立方體可辨 Title Match、Password Battle、Wi-Fi Matching 字樣及 Return。,ANALYSIS_OR_CROSSCHECK,此處證明模式入口存在；没有展示密碼或連線完整流程。
V19,戰鬥,對手隊伍選單,150,150.753299,https://www.bilibili.com/video/BV13u411B7BK/?t=150,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t150.png,baf32d79c31ba633d7bc4200f8ce1d1175efde283a92d7ec462c26f190fa458c,VIDEO_OBSERVED,上方隊伍名稱與三個黑色剪影；下方對手清單、Rank 星和 bits。,ANALYSIS_OR_CROSSCHECK,對手資訊以摘要呈現；金額的完整計算規則未由清單證明。
V20,戰鬥,編隊與策略槽,162,162.843446,https://www.bilibili.com/video/BV13u411B7BK/?t=162,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t162.png,1afd05f68f5de9e5a0b559a273d7c4143fbd06cf95e350a8667206415b45f6dc,VIDEO_OBSERVED,三個角色直欄、HP/TP、Normal Attack；上方文字提到可以更改隊名與戰鬥策略。,ANALYSIS_OR_CROSSCHECK,策略是戰前配置；本片未展開所有策略值。
V21,戰鬥,從名單挑選成員,167,168.241457,https://www.bilibili.com/video/BV13u411B7BK/?t=167,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t167.png,2fa900c8542dace49ca4dc37d874c6c1c4622111d8c68b1b5d272a026eae26f5,VIDEO_OBSERVED,下螢幕名單選中角色、OK；上方提供 HP/TP、Attack/Defense/Wisdom/Speed、戰績、種族、世代、性格等資料。,ANALYSIS_OR_CROSSCHECK,查看候選和確認加入隊伍不同；不是每次點選就開始战鬥。
V22,戰鬥,戰前總覽,172,173.004283,https://www.bilibili.com/video/BV13u411B7BK/?t=172,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t172.png,335f982e3cad49e889e2071acda2b6992ba3d100fd85adbb3b32600f15294e1c,VIDEO_OBSERVED,己方三個角色、敵方剪影、Grass Ground 預覽、Battle／Return。,ANALYSIS_OR_CROSSCHECK,選好隊伍後還有一次出戰提交。
V23,戰鬥,戰鬥開場,180,180.391858,https://www.bilibili.com/video/BV13u411B7BK/?t=180,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t180.png,aec6b68dd33778e15f22a1dcd5e0d9b594b545ff12a4e27acd56954512946a93,VIDEO_OBSERVED,上方 Free Battle、雙方隊名、120、每隊三個角色與狀態條；下方對峙場地和播報文字。,ANALYSIS_OR_CROSSCHECK,隊伍總覽與場內行動分開呈現。
V24,戰鬥,自動戰鬥與效果,210,210.488306,https://www.bilibili.com/video/BV13u411B7BK/?t=210,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t210.png,06442e134ec890ca08fa1c3a59c1fb5c158a93035204278253ee7a106754bbfb,VIDEO_OBSERVED,計時器顯示 099；角色場上位置、敵方狀態條、電路樣覆蓋效果與開場不同。,ANALYSIS_OR_CROSSCHECK,畫面中沒有逐回合命令選單；特效不證明整個場地使用 3D。
V25,戰鬥,勝負宣告,240,240.938266,https://www.bilibili.com/video/BV13u411B7BK/?t=240,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t240.png,3dbf57a4c1bb044e38c7f401ff8a4aa9b0f0a1fb63e3a0d8203486e4c0da5511,VIDEO_OBSERVED,播報指出 Team 234567 勝利；敵方總覽角色倒下、狀態條減少。,ANALYSIS_OR_CROSSCHECK,勝負揭示發生在戰鬥呈現中；不代表已看見所有獎勵寫入。
V26,時間,翌日資訊通知,255,255.757142,https://www.bilibili.com/video/BV13u411B7BK/?t=255,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t255.png,1e5a830ffbae2b76e4822ab6cd4822d285bc459af19811f1b5e4164ddcb668e8,VIDEO_OBSERVED,Spring Day 6、07:20；下方 From: Information 的信紙式通知。,ANALYSIS_OR_CROSSCHECK,進入新一天可有事件通知；並非所有訊息都用同一個小日志框。
V27,戰鬥,1VS1 與 3VS3,270,270.757011,https://www.bilibili.com/video/BV13u411B7BK/?t=270,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t270.png,b256a6d9634e21c89c352de81a0ccfe55708ca4d43830277ff2ed3ca5a6ddad1,VIDEO_OBSERVED,Free Battle 下方有 1VS1 和 3VS3 兩張選擇卡。,ANALYSIS_OR_CROSSCHECK,原作此模式不是只有 3v3。
V28,戰鬥,點選隊伍配置入口,286,286.476083,https://www.bilibili.com/video/BV13u411B7BK/?t=286,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t286.png,32492a1e97c88b64a6e22017461e4d2e3742858fb03adfe0ede33478106daa79,VIDEO_OBSERVED,Training Court 預覽、己方空台、TOUCH! 箭頭、敵方剪影。,ANALYSIS_OR_CROSSCHECK,點己方台進入選人，是流程內的局部導航。
V29,戰鬥,另一場地的勝利,330,331.045687,https://www.bilibili.com/video/BV13u411B7BK/?t=330,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t330.png,99580c62c38e40985b0268a253cc7d831e920cf331a202ee5cb2fa148f07ab2a,VIDEO_OBSERVED,Free Battle 對 Supreme Wind，Training Court 地面線條和不同對手。,ANALYSIS_OR_CROSSCHECK,地圖／戰場會隨賽事改變；不能以單張草地代表全部戰鬥。
V30,飼育,照料循環,360,360.858817,https://www.bilibili.com/video/BV13u411B7BK/?t=360,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t360.png,d15c632e8992d525915b9b84b4b2b926f21987c7047ab98946bc4daec1bfe846,VIDEO_OBSERVED,回到 Training，Food remaining 訊息與多角色場景重現。,ANALYSIS_OR_CROSSCHECK,戰後回到同一養成場景，形成反覆循環。
V31,商店,商店入口三類,409,409.877891,https://www.bilibili.com/video/BV13u411B7BK/?t=409,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t409.png,656d796328a5de4cc315a96c2d98a26bef2364750e7864e7bc8bf2f6946333b3,VIDEO_OBSERVED,底部 Training Goods、Hunt Item、Cage；上方提示選擇商店類別。,ANALYSIS_OR_CROSSCHECK,影片直接證明這三個首頁入口，不能把資料分類數直接當作首頁按鈕數。
V32,選單,管理選單再次出現,429,430.159628,https://www.bilibili.com/video/BV13u411B7BK/?t=429,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t429.png,583153483ece25f5221e17444780db5f232766d5c3bd9e5d65646d07e549dbee,VIDEO_OBSERVED,End Day 位在管理選單右下方。,ANALYSIS_OR_CROSSCHECK,結束一天可由玩家主动發起。
V33,時間,結束一天確認,431,431.739143,https://www.bilibili.com/video/BV13u411B7BK/?t=431,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t431.png,73effe209c64ac67def72cbd9463c9fcdc684e43b7afa493d0af090e5fbe9a30,VIDEO_OBSERVED,仍為 Day 6、13:00，出現是否結束一天的 Yes／No 確認。,ANALYSIS_OR_CROSSCHECK,可以在白天選擇提前結束；不是只能等到晚上。
V34,時間,儲存回饋,433,433.503023,https://www.bilibili.com/video/BV13u411B7BK/?t=433,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t433.png,73319f424e3aaf22c8618f3f83340881a6d97dd755c99256fa5722ad465f47e2,VIDEO_OBSERVED,畫面轉黑，右下可見 Saving 與小型存檔圖示。,ANALYSIS_OR_CROSSCHECK,和 431／450 秒合看支持結束一天後儲存、进入翌日的順序。
V35,時間,下一天繼續照料,450,450.328554,https://www.bilibili.com/video/BV13u411B7BK/?t=450,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t450.png,f29f51b839fe1c2c3e25bdf458502ad8d43b5080543948e79bfb252a808ec4fb,VIDEO_OBSERVED,Spring Day 7、08:00，場內食物和 Food remaining 訊息。,ANALYSIS_OR_CROSSCHECK,影片包含日切換；精確新日初始時刻仍需更密集或二進位追蹤。
V36,戰鬥,稱號賽條件與金額,459,459.561067,https://www.bilibili.com/video/BV13u411B7BK/?t=459,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t459.png,e112e38254d506fb98a8b6b88c62c2ea1be45e94152d47e76094e4b44a123929,VIDEO_OBSERVED,Challenge Gears、1vs1、Entrance Fee 150 bits、Day 7、Rank、4020 bits。,ANALYSIS_OR_CROSSCHECK,賽事有日期、形式和金錢條件；先讀條件，再選隊出戰。
V37,戰鬥,1 對 1 開場,480,480.115294,https://www.bilibili.com/video/BV13u411B7BK/?t=480,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t480.png,6cbde14be38e92969e2c98f9f3cd7db4b367e50278c4f371fba751b3e8e257d0,VIDEO_OBSERVED,Challenge Gears 中雙方各一個角色，120 計時器和 READY!。,ANALYSIS_OR_CROSSCHECK,1vs1 不只是選單文字，也有实际戰鬥畫面。
V38,戰鬥,WIN 揭示,510,509.890584,https://www.bilibili.com/video/BV13u411B7BK/?t=510,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t510.png,127656da9be7a4bd6979365f2d4eece1c827320995b2519dcc2da36135321055,VIDEO_OBSERVED,紅色電路背景、WIN!! 大字及勝利角色。,ANALYSIS_OR_CROSSCHECK,結果呈現可切換成專門畫面。
V39,飼育,進化結果,516,516.66335,https://www.bilibili.com/video/BV13u411B7BK/?t=516,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t516.png,0f4ac76f3932a62dfa2fe903e0d70e58c6d2c8473dae2da877242a749d2835e1,VIDEO_OBSERVED,Training 訊息顯示 Punikia 進化成 Coronamon，場內角色外觀改變。,ANALYSIS_OR_CROSSCHECK,可確認進化發生；無法只據先後判定是哪一項條件觸發。
V40,時間,第八天早晨,546,546.843613,https://www.bilibili.com/video/BV13u411B7BK/?t=546,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t546.png,956903f79170ec834fb72a968c0fd328c375dc10cd2b89e354124f83bfdc4769,VIDEO_OBSERVED,Spring Day 8、07:10 的 Training。,ANALYSIS_OR_CROSSCHECK,支持翌日從清晨開始，仍不作精確起始 tick 的結論。
V41,商店,場地商品資料,554,555.02178,https://www.bilibili.com/video/BV13u411B7BK/?t=554,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t554.png,12775ee09e77529d81382f758f3895b248b87f26bae7ffc7f86099118c2e9463,VIDEO_OBSERVED,Empty Lot、Defense Up、Occupancy Limit 2、Cage Lvl 星、已持有商品提示。,ANALYSIS_OR_CROSSCHECK,場地商品包含功能和容量，不只有外觀。
V42,商店,狩獵耗材分類,570,570.471053,https://www.bilibili.com/video/BV13u411B7BK/?t=570,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t570.png,70f98adeed733097ef8349b5dd57512d9cb8f72cf240eb347b48da6facb6e777,VIDEO_OBSERVED,Rapid Shot α、Power 10；Upgrade、Wire & Rope、Shot、Trap 子分類。,ANALYSIS_OR_CROSSCHECK,數值來自商品說明，並不是實際傷害公式驗證。
V43,商店,情報插件分類,600,600.033281,https://www.bilibili.com/video/BV13u411B7BK/?t=600,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t600.png,d85fbb724ab506abd2e0ab510b615a09b896bc99842edf40a575e0e821e25bc7,VIDEO_OBSERVED,Family Analyzer、Analyzer／Tool Checker／Radar／Memory，已持有與 New 狀態。,ANALYSIS_OR_CROSSCHECK,裝備除了作用於目標，也會影響資訊獲取；確切插件啟用條件仍待追蹤。
V44,場地,更多模組與待配置區,630,630.12056,https://www.bilibili.com/video/BV13u411B7BK/?t=630,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t630.png,90d8546623850584f4394de93bb97bcd044fa28b0737bccf8b81a96edcc94d27,VIDEO_OBSERVED,編輯板上與下方區域都有形狀不同的草地、森林、火山等模組。,ANALYSIS_OR_CROSSCHECK,地圖構成和備選模組應分開；確切放置合法性未由單一影格決定。
V45,飼育,在地行為回饋,660,660.576712,https://www.bilibili.com/video/BV13u411B7BK/?t=660,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t660.png,0b49579caab2ab5fd63f7a195cbf39533ac10fc0e36c9db4ac495ca74dcf1269,VIDEO_OBSERVED,跑道角色出現食物氣泡，日志可見 HP at limit、TP DOWN 4。,ANALYSIS_OR_CROSSCHECK,需求提示、訓練變動與上限回饋都有畫面語意；單次 4 不能當作通用公式。
V46,時間,跨季與其他道具,690,690.564267,https://www.bilibili.com/video/BV13u411B7BK/?t=690,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t690.png,5c2122967a10a49b5a2e28a7482d8dfcb0ea1f31720bbc65f08d4471254017ce,VIDEO_OBSERVED,Summer Day 1、08:00；98 Protein remaining，場上已加入森林和火山。,ANALYSIS_OR_CROSSCHECK,支持春八日之後轉夏一日，以及工具依道具類型切換。
V47,飼育,多場地照料,720,720.43317,https://www.bilibili.com/video/BV13u411B7BK/?t=720,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t720.png,24e4c98c53956843e2c2bf235f85b5a8830733cae51195292149d1e69a4a2ef2,VIDEO_OBSERVED,不同環境相鄰存在，角色和食物分别位於跑道、火山；Food remaining 遞減。,ANALYSIS_OR_CROSSCHECK,生活場景需要容納多個功能環境與同時活動的角色。
V48,狩獵,狩獵設定總覽,739,739.6027,https://www.bilibili.com/video/BV13u411B7BK/?t=739,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t739.png,85d520a99306df5475736a82198f9a225633a2ddf511b696f8aafe219e6c6dc1,VIDEO_OBSERVED,上方提示可選擇要帶進地圖的 Digimon；下方可辨 Upgrade 和 Gear 卡片。,ANALYSIS_OR_CROSSCHECK,狩獵設定不只是選地點，還有同行對象／裝備配置。
V49,狩獵,繩索裝備清單,744,744.347159,https://www.bilibili.com/video/BV13u411B7BK/?t=744,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t744.png,1db8c36ff30128c04aa55bfe7eb026b7358c3bf7382b1268bf535b388c603897,VIDEO_OBSERVED,Hard Rope α 說明、Durability 32、DigiRope α／β 等候選與數量、工具槽。,ANALYSIS_OR_CROSSCHECK,選定槽位與從庫存挑選裝備是兩個步驟；各繩公式仍未知。
V50,狩獵,Wire 與 Rope 的語意差異,750,750.497127,https://www.bilibili.com/video/BV13u411B7BK/?t=750,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t750.png,b1a13da30efe89140bd2f5d21cb0edc13e0cf1b56bc7b33566532441242fd210,VIDEO_OBSERVED,Normal Wire α 的說明為鋪於地面阻擋角色，Length 24。,ANALYSIS_OR_CROSSCHECK,Wire 是障礙功能，不能將其和拉扯用 Rope 視為同義物。
V51,狩獵,再次返回球形地圖,761,761.84868,https://www.bilibili.com/video/BV13u411B7BK/?t=761,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t761.png,c0e4dd8b183d69b47918f45d2028c943b19b3862792910734631f91029be4c33,VIDEO_OBSERVED,Summer Day 1 的地區選擇、入口費、Settings／Return。,ANALYSIS_OR_CROSSCHECK,設定頁有返回地區選擇的路徑；本片尾段沒有完整第二次捕捉。
V52,退出,結束遊戲確認,792,792.639733,https://www.bilibili.com/video/BV13u411B7BK/?t=792,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t792.png,bc12fec1ac406a5803626b2aaf025abdc2b71a06953413c136fd6c84267962dd,VIDEO_OBSERVED,Training 背景與六項功能選單上方出現是否結束遊戲的 Yes／No。,ANALYSIS_OR_CROSSCHECK,結束遊戲與 End Day、離開 Hunt 各有獨立意圖及確認。
